,Description,Previously Called,TYPE,Fiber Category,Resin Category,Sequence Assist,Auto-Sequence,PN Concatenation,PN+Description Concatenation,UOM,Width (in),Length (in),Arial Weight (gsm),Thickness (mm),$/Kg,Heat capcity (J/C),Suggested Process Temp (deg F),Manufacturer,Manufacturer PN (link to datasheet),Misc. Notes,Weld Notes:,Cut Notes:,Inventory Locations:
,Opaque PP film,,10-FILM,00-NO FIBER,03-PP,10-00-03-,4,10-00-03-004,10-00-03-004 - Opaque PP film,kg,12,0,,,,,,,,,,,R04-L05-P04 - 5 kg
,IE6536--- Carbon PP--- 0.01inch thick--- 25inch W,,10-FILM,10-CARBON,03-PP,10-10-03-,4,10-10-03-004,10-10-03-004 - IE6536--- Carbon PP--- 0.01inch thick--- 25inch W,kg,25,0,,,,,,Polystrand,IE6536,Polystrand is now Avient,Use a piece of tape or a clip to hold the roll together. Use the wide soldering tip at 370 deg C.,Make sure to align aluminum leads on roll holder with the aluminum U-channel on the mechanical stops.,#N/A
,ZRT PP semi-preg film--- 19inch W,,10-FILM,60-ZRT,03-PP,10-60-03-,1,10-60-03-001,10-60-03-001 - ZRT PP semi-preg film--- 19inch W,kg,19,0,,,,,,Boston Materials,Z01-SP1L-PP-W19 (?),,,,#N/A
,ZRT PP semi-preg film--- 12inch W,,10-FILM,60-ZRT,03-PP,10-60-03-,2,10-60-03-002,10-60-03-002 - ZRT PP semi-preg film--- 12inch W,kg,12,0,,,,,,Boston Materials,Z01-SP1L-PP-W12,,,,#N/A
,Ti40A Titanium--- 0.010inch thick x 12inch W ,,10-FILM,70-METAL--- TEFLON--- CONSUMABLES--- ETC,00-NO MATRIX,10-70-00-,1,10-70-00-001,10-70-00-001 - Ti40A Titanium--- 0.010inch thick x 12inch W ,kg,12,0,,,,,,Ulbrich Metals,Grade 2 Titanium,,,,#N/A
,PC sheet--- 0.02inch thick--- 2 ft x 4ft,,10-FILM,00-NO FIBER,02-PC,10-00-02-,1,10-00-02-001,10-00-02-001 - PC sheet--- 0.02inch thick--- 2 ft x 4ft,ea,24,48,,,,,,,,,,,#N/A
,Hardcoat film--- honeycomb backprint--- 20inch W,,10-FILM,00-NO FIBER,52-HONEYCOMB,10-00-52-,1,10-00-52-001,10-00-52-001 - Hardcoat film--- honeycomb backprint--- 20inch W,kg,20,0,,,,,,Matterworks,8518,,,,#N/A
,Hardcoat film--- honeycomb backprint--- 35inch W,,10-FILM,00-NO FIBER,52-HONEYCOMB,10-00-52-,2,10-00-52-002,10-00-52-002 - Hardcoat film--- honeycomb backprint--- 35inch W,kg,35,0,,,,,,Matterworks,,,,,#N/A
,PETG film--- 48inch W,,10-FILM,00-NO FIBER,07-PETG,10-00-07-,1,10-00-07-001,10-00-07-001 - PETG film--- 48inch W,kg,48,0,,,,,,,,,,,#N/A
,IE6536 ply--- Carbon PP--- 36inch W x 50inch L,,20-PLY,10-CARBON,03-PP,20-10-03-,1,20-10-03-001,20-10-03-001 - IE6536 ply--- Carbon PP--- 36inch W x 50inch L,ea,36,50,,,,,,Polystrand,IE6536,Polystrand is now Avient,Use a piece of tape or a clip to hold the roll together. Use the wide soldering tip at 370 deg C.,Make sure to align aluminum leads on roll holder with the aluminum U-channel on the mechanical stops.,#N/A
